Date,Kuster (D),MoE,Negron (R),Poll,Sample,Spread,Year
10/27 - 10/29,52,4.3,40,Emerson,569 LV,Kuster +12,2018
10/10 - 10/18,53,6.4,38,UNH*,234 LV,Kuster +15,2018
10/10 - 10/12,44,5.2,25,Emerson*,401 LV,Kuster +19,2018
