Date,Housley (R),MoE,Poll,Sample,Smith (D),Spread,Year
10/15 - 10/17,41,3.5,Star Tribune/Mason-Dixon*,800 LV,47,Smith +6,2018
9/30 - 10/4,38,4.9,NBC News/Marist,637 LV,54,Smith +16,2018
9/6 - 9/8,39,4.9,KSTP/SurveyUSA,574 LV,48,Smith +9,2018
8/17 - 8/20,37,4.4,Suffolk*,500 LV,44,Smith +7,2018
9/10 - 9/12,37,3.5,Star Tribune/Mason-Dixon,800 LV,44,Smith +7,2018
8/8 - 8/11,28,4.6,Emerson,500 LV,32,Smith +4,2018
7/15 - 7/19,35,4.0,NBC News/Marist,876 RV,49,Smith +14,2018
