Date,Fung (R),MoE,Poll,Raimondo (D),Sample,Spread,Year
10/20 - 10/24,34,4.8,WPRI/Roger Williams*,45,416 LV,Raimondo +11,2018
9/27 - 10/6,34,4.4,UNH*,48,503 LV,Raimondo +14,2018
9/14 - 9/17,36,4.8,WPRI/Roger Williams*,43,420 LV,Raimondo +7,2018
7/28 - 7/31,37,4.8,WPRI/Roger Williams*,39,407 LV,Raimondo +2,2018
2/25 - 2/28,36,4.8,WPRI/Roger Williams*,38,419 RV,Raimondo +2,2018
