Date,Hurd (R),MoE,Ortiz Jones (D),Poll,Sample,Spread,Year
10/13 - 10/18,53,5.0,38,NY Times/Siena,488 LV,Hurd +15,2018
9/10 - 9/11,51,5.0,43,NY Times/Siena,495 LV,Hurd +8,2018
