Date,MoE,Paulsen (R),Phillips (D),Poll,Sample,Spread,Year
9/24 - 9/29,--,44,49,KSTP/SurveyUSA,607 LV,Phillips +5,2018
9/7 - 9/9,4.6,42,51,NY Times/Siena,500 LV,Phillips +9,2018
