Date,Loebsack (D),MoE,Peters (R),Poll,Sample,Spread,Year
10/29 - 11/1,53,5.3,40,Emerson,373 LV,Loebsack +13,2018
9/6 - 9/8,45,6.6,21,Emerson,250 RV,Loebsack +24,2018
