Date,Henderson (D),Hutchinson (R),MoE,Poll,Sample,Spread,Year
10/18 - 10/19,24,60,4.3,Talk Business/Hendrix College*,528 LV,Hutchinson +36,2018
10/1 - 10/28,35,59,3.9,The Arkansas Poll,618 LV,Hutchinson +24,2018
9/5 - 9/7,25,60,2.4,Talk Business/Hendrix College*,1701 LV,Hutchinson +35,2018
3/21 - 3/24,24,63,4.0,Mason-Dixon,625 LV,Hutchinson +39,2018
