Date,Edwards (R),Pappas (D),Poll,Sample,Spread,Year
10/27 - 10/29,46,48,Emerson,570 LV,Pappas +2,2018
10/10 - 10/18,37,46,UNH*,265 LV,Pappas +9,2018
10/10 - 10/12,35,40,Emerson*,387 LV,Pappas +5,2018
