Campbell (R),Cardin (D),Date,MoE,Poll,Sample,Simon (I),Spread,Year
22,49,10/1 - 10/6,3.5,Gonzales Research,806 LV,18,Cardin +27,2018
17,56,9/11 - 9/16,4.5,Goucher College,472 LV,8,Cardin +39,2018
