Date,MoE,Poll,Radinovich (D),Sample,Spread,Stauber (R),Year
10/11 - 10/14,4.6,NY Times/Siena,34,507 LV,Stauber +15,49,2018
9/6 - 9/9,4.6,NY Times/Siena,44,504 LV,Radinovich +1,43,2018
