Date,Heinrich (D),Johnson (L),MoE,Poll,Rich (R),Sample,Spread,Year
10/29 - 10/29,52,7,2.8,KOB-TV,37,1200 LV,Heinrich +15,2018
10/24 - 10/26,48,16,3.4,Emerson,32,936 LV,Heinrich +16,2018
9/7 - 9/13,47,16,3.1,Albuquerque Journal,26,966 LV,Heinrich +21,2018
8/17 - 8/18,39,21,4.6,Emerson,11,500 LV,Heinrich +18,2018
