Bost (R),Date,Kelly (D),MoE,Poll,Sample,Spread,Year
48,10/18 - 10/22,39,4.7,NY Times/Siena,502 LV,Bost +9,2018
44,9/4 - 9/7,43,4.6,NY Times/Siena,533 LV,Bost +1,2018
