Date,MoE,Poll,Pritzker (D),Rauner (R),Sample,Spread,Year
9/24 - 9/29,3.7,The Simon Poll/SIU*,49,27,715 LV,Pritzker +22,2018
8/12 - 8/16,4.4,NBC News/Marist*,46,30,734 RV,Pritzker +16,2018
6/9 - 6/11,4.0,WeAskAmerica,36,27,600 LV,Pritzker +9,2018
2/19 - 2/25,3.0,The Simon Poll/SIU,50,35,1001 RV,Pritzker +15,2018
