Date,MoE,Poll,Sample,Sanders (I),Spread,Year,Zupan (R)
10/30 - 11/1,3.3,Gravis,885 LV,66,Sanders +36,2018,30
10/5 - 10/14,4.4,Vermont Public Radio*,495 LV,60,Sanders +41,2018,19
