Date,Espy (D),Hyde-Smith (R),MoE,Poll,Sample,Spread,Year
10/13 - 10/18,36,50,6.1,NBC News/Marist,511 LV,Hyde-Smith +14,2018
4/12 - 4/14,34,46,4.0,Mason-Dixon,625 RV,Hyde-Smith +12,2018
