Brindisi (D),Date,MoE,Poll,Sample,Spread,Tenney (R),Year
46,10/15 - 10/18,4.7,Siena,501 LV,Brindisi +1,45,2018
46,8/20 - 8/26,4.8,Siena,499 LV,Brindisi +2,44,2018
