Date,Love (R),McAdams (D),MoE,Poll,Sample,Spread,Year
10/24 - 10/26,45,45,4.7,NY Times/Siena,526 LV,Tie ,2018
10/25 - 10/25,43,50,3.2,KUTV/Dixie Strategies,936 LV,McAdams +7,2018
10/3 - 10/11,46,46,4.9,Salt Lake Tribune,403 RV,Tie ,2018
8/22 - 9/6,49,46,4.9,UtahPolicy/Dan Jones,400 LV,Love +3,2018
6/11 - 6/18,45,39,5.0,Salt Lake Tribune,379 RV,Love +6,2018
5/15 - 6/5,47,43,5.0,UtahPolicy/Dan Jones,405 LV,Love +4,2018
2/9 - 2/21,49,43,4.9,UtahPolicy/Dan Jones,404 RV,Love +6,2018
1/15 - 1/22,47,42,4.9,Salt Lake Tribune/Dan Jones,400 RV,Love +5,2018
10/9 - 10/18,48,42,4.9,Salt Lake Tribune/Dan Jones,402 RV,Love +6,2017
