Date,Herrell (R),MoE,Poll,Sample,Small (D),Spread,Year
10/29 - 10/29,47,--,KOB-TV,338 LV,42,Herrell +5,2018
10/24 - 10/26,47,6.1,Emerson,278 LV,47,Tie ,2018
10/19 - 10/23,45,4.6,NY Times/Siena,522 LV,44,Herrell +1,2018
9/7 - 9/13,48,4.9,Albuquerque Journal,405 LV,41,Herrell +7,2018
9/13 - 9/18,45,4.9,NY Times/Siena,503 LV,46,Small +1,2018
