Date,MoE,Poll,Salazar (R),Sample,Shalala (D),Spread,Year
10/15 - 10/19,5.0,NY Times/Siena,37,542 LV,44,Shalala +7,2018
10/1 - 10/6,4.0,Mason-Dixon,44,625 LV,42,Salazar +2,2018
