Date,MoE,Poll,Romney (R),Sample,Spread,Wilson (D),Year
10/3 - 10/9,4.0,Salt Lake Tribune,59,607 RV,Romney +36,23,2018
8/22 - 8/31,3.4,UtahPolicy/Dan Jones*,55,809 LV,Romney +26,29,2018
6/11 - 6/18,3.9,Salt Lake Tribune/Dan Jones,58,654 RV,Romney +38,20,2018
2/9 - 2/16,4.0,UtahPolicy/Dan Jones*,60,609 RV,Romney +46,14,2018
1/15 - 1/18,3.5,Salt Lake Tribune/Dan Jones,64,803 RV,Romney +45,19,2018
8/30 - 9/5,4.0,UtahPolicy/Dan Jones,64,608 RV,Romney +38,26,2017
