Brakey (R),Date,King (I),MoE,Poll,Sample,Spread,Year
37,10/27 - 10/29,50,3.5,Emerson*,883 LV,King +13,2018
30,10/1 - 10/7,57,4.4,Pan Atlantic*,500 LV,King +27,2018
25,8/2 - 8/6,52,4.4,Suffolk*,500 LV,King +27,2018
