Date,Grisham (D),MoE,Pearce (R),Poll,Sample,Spread,Year
10/29 - 10/29,51,2.8,46,KOB-TV,1200 LV,Grisham +5,2018
10/24 - 10/26,53,3.4,44,Emerson,936 LV,Grisham +9,2018
9/7 - 9/13,50,3.1,43,Albuquerque Journal,966 LV,Grisham +7,2018
8/17 - 8/18,42,4.6,40,Emerson,500 LV,Grisham +2,2018
6/19 - 6/23,51,5.0,38,KOB-TV/SurveyUSA,535 LV,Grisham +13,2018
