Craig (D),Date,Lewis (R),MoE,Poll,Sample,Spread,Year
51,9/29 - 10/2,39,5.0,NY Times/Siena,487 LV,Craig +12,2018
48,9/17 - 9/23,45,4.5,KSTP/SurveyUSA,569 LV,Craig +3,2018
