Date,Perry (R),Poll,Sample,Scott (D),Spread,Year
10/24 - 10/26,45,NY Times/Siena,498 LV,43,Perry +2,2018
10/19 - 10/21,49,Susquehanna,366 LV,46,Perry +3,2018
9/24 - 9/25,44,PPP (D),650 RV,43,Perry +1,2018
