Campa-Najjar (D),Date,Hunter (R),MoE,Poll,Sample,Spread,Year
45,10/25 - 10/29,48,4.8,KGTV-TV/SurveyUSA,547 LV,Hunter +3,2018
38,9/22 - 9/26,53,5.3,Monmouth,348 LV,Hunter +15,2018
47,9/16 - 9/23,49,6.0,Berkeley IGS,527 LV,Hunter +2,2018
39,8/22 - 8/26,47,5.1,KGTV-TV/SurveyUSA,539 LV,Hunter +8,2018
