Date,DiNicola (D),Kelly (R),MoE,Poll,Sample,Spread,Year
10/29 - 10/30,51,47,4.9,Susquehanna,405 LV,DiNicola +4,2018
10/3 - 10/8,42,50,4.8,NY Times/Siena,532 LV,Kelly +8,2018
