Date,Kelly (D),MoE,Poll,Sample,Spread,Sununu (R),Year
10/27 - 10/29,43,4.9,Emerson,441 LV,Sununu +8,51,2018
10/10 - 10/18,39,4.4,UNH*,499 LV,Sununu +11,50,2018
10/10 - 10/12,35,8.1,Emerson*,157 LV,Sununu +16,51,2018
8/2 - 8/19,32,5.0,UNH,389 LV,Sununu +16,48,2018
4/26 - 4/30,27,3.5,Suffolk*,800 LV,Sununu +21,48,2018
4/13 - 4/22,24,5.0,UNH*,379 LV,Sununu +27,51,2018
