Collins (R),Date,McMurray (D),MoE,Poll,Sample,Spread,Year
45,10/29 - 10/30,38,3.5,WHEC-TV/Dixie Strategies,801 LV,Collins +7,2018
44,10/24 - 10/29,40,4.8,NY Times/Siena,501 LV,Collins +4,2018
46,10/6 - 10/11,43,4.7,Siena,490 LV,Collins +3,2018
